"","","moleculeClusterIndex"
1650.39408000594,863.464702655551,1
1655.65812144275,906.58947904394,1
1617.02589105823,832.263772630229,1
1636.30192907237,909.072365846103,1
1653.38315147555,914.298635737549,1
1628.06312712695,882.739068234041,1
1656.88912022711,880.263284836876,1
1638.77779149106,892.200067799647,1
1633.59481056078,915.756282511391,1
1649.9168464821,856.846794559178,1
1659.8933897626,893.192182948532,1
1642.46050656676,833.294445696314,1
1663.26805915591,885.264654318486,1
1597.34371398091,885.230971398493,1
1658.49875383767,952.79236694296,1
1858.82084901461,558.876649942187,2
1789.00449226138,561.518322845303,2
1842.04674819869,568.754988046903,2
1795.14059779177,595.733258184052,2
1845.18281288959,571.570512589002,2
1852.82369890417,607.847349761556,2
1821.95716883921,533.326599922238,2
1848.62712253627,569.022520983062,2
1818.13361435338,598.877356513082,2
1856.05629706971,572.297049603382,2
1815.07460720557,586.817417763767,2
1846.19595366078,532.411729326091,2
1814.28096966387,581.121036319936,2
1832.31903968338,562.416078286354,2
1875.27925581892,564.168980507865,2
1048.15029749732,1292.92963852572,3
1059.65263650417,1244.6745806818,3
1073.65901669921,1298.22092204036,3
1029.27483316412,1284.03152688159,3
1076.63499787065,1288.29745528309,3
1041.53878606101,1319.73832884137,3
1083.9464125713,1298.80531594595,3
1023.44521876656,1251.62787655125,3
1083.15590553613,1272.98860059087,3
1047.70500917887,1288.72235266258,3
1076.8496831075,1271.07960698491,3
1078.97403115794,1309.62843633171,3
1075.44823509742,1309.51054446671,3
1064.37165460483,1296.7452110835,3
1023.0154207785,1291.81619624028,3
702.623317877394,300.003475454192,4
674.369850485222,281.248773688519,4
735.041919813762,288.893615540808,4
724.128449099764,297.212691468567,4
714.671608375106,265.601868677382,4
686.352421212519,297.607212210764,4
729.693862309823,322.165984709521,4
725.710170801338,347.268235176695,4
713.299568354046,294.413718546684,4
729.828572319979,266.87060457636,4
730.07895658958,345.25001089137,4
727.587646234927,301.473649675307,4
675.960661163061,290.334875952069,4
726.558004471061,299.968001478285,4
724.494537236886,288.561572331046,4
11.8035562588287,632.29398696489,5
30.6267121126442,707.177808342228,5
8.87616205135641,637.873534617245,5
39.5904429606167,665.686543618089,5
12.32264870541,661.903706533844,5
-14.5636785915444,622.341438953171,5
12.3332586515831,622.953478313344,5
10.526385819023,669.605050801496,5
-12.4102016520642,632.628930644908,5
18.6086692033635,633.167751981104,5
11.7545516197867,631.281413412484,5
25.9558989786203,627.391437241837,5
3.18891606644975,645.091214778043,5
24.9888335313031,622.580997486874,5
58.9534450662536,642.225643073214,5
1396.53765540012,1343.7648629599,6
1338.85290496654,1361.73484876013,6
1415.00458750368,1364.00552413652,6
1429.13326938798,1359.3144309471,6
1379.52364435215,1311.96514288909,6
1421.29160544977,1379.24014505966,6
1389.37531701707,1275.93601019363,6
1412.01719048387,1296.56392433237,6
1370.64795631898,1344.74984908134,6
1404.96520773463,1352.20735345431,6
1451.56906400471,1333.41677723336,6
1416.16128957132,1388.98405063953,6
1399.47381050788,1341.19385420754,6
1477.37755484594,1303.96608616549,6
1406.25831961534,1336.95644871433,6
1096.75461018186,1098.32014819178,7
1099.60994749917,1120.27656563572,7
1120.47135114575,1128.07709257377,7
1110.89629260461,1097.96758211533,7
1097.99892418595,1111.99098781844,7
1132.58454979384,1094.83570238819,7
1076.03285213505,1100.83107722446,7
1106.93097325099,1134.94821206426,7
1092.63699363089,1133.0772499513,7
1091.55877474564,1118.2088251612,7
1078.38360538601,1114.23372561432,7
1085.99318367119,1068.79499057917,7
1074.692585511,1071.48734507276,7
1104.19757846174,1049.44670464721,7
1065.6369168396,1118.47670775877,7
1667.36875475926,1309.10688300821,8
1669.5198301625,1386.34243726144,8
1629.73043716293,1343.57488644268,8
1632.29866756171,1335.65465557628,8
1663.03863218992,1282.62832308236,8
1682.19031987945,1340.46119819898,8
1667.51111150613,1382.86519889417,8
1683.84752875887,1330.33513225823,8
1670.52127040783,1316.82058732427,8
1657.77682670124,1309.92777016684,8
1684.42789202416,1339.35240618872,8
1686.10029960857,1331.36720953026,8
1650.90970750901,1334.11422137657,8
1646.76257063707,1279.22544176304,8
1693.99705380012,1315.36141585733,8
1807.67564477979,631.704485642308,9
1820.92003968968,622.691614286463,9
1762.58501235622,655.017210836805,9
1845.53111379275,618.967920187978,9
1800.8165108732,655.366368379367,9
1834.54636463471,657.055876475175,9
1831.56662535842,665.689684931833,9
1820.5272408228,623.576446739131,9
1821.88146477648,616.700652740186,9
1789.73029852414,641.434779280683,9
1752.22811560636,630.054233860587,9
1826.42966291301,635.143851678282,9
1793.95521048545,699.465995299308,9
1812.49707219439,637.35721109438,9
1804.06747711043,641.737451574836,9
1243.98703025174,1480.60912653683,10
1271.56134637072,1501.29384648059,10
1265.36855484833,1474.04248233871,10
1206.67338313117,1517.64061133474,10
1224.15733575523,1430.97579614897,10
1220.56228752074,1461.57877936411,10
1281.91280567093,1458.59260379779,10
1242.1927978505,1481.71752450742,10
1229.45291466629,1494.16578017553,10
