"","","moleculeClusterIndex"
980.628950305318,1153.0682745765,1
974.836874197608,1188.00589436738,1
952.515390893564,1153.96776774044,1
940.866276358694,1174.53231281943,1
943.007155197339,1121.4670488489,1
940.632521224328,1131.6849256172,1
961.881965525773,1157.89083736135,1
990.454395675524,1149.36402902647,1
944.312818484504,1159.65811382434,1
1012.85105246033,1182.42561420395,1
944.034001547604,1103.26191151358,1
966.788971297392,1222.89052516743,1
949.986478026484,1161.2961837844,1
983.699476739671,1189.56733430919,1
973.75222949997,1151.48711331231,1
762.944165825988,1332.34717215116,2
793.562763114365,1288.16024148452,2
774.708685484104,1339.72229228208,2
769.639844190225,1256.6492306433,2
775.583363396795,1277.95956734553,2
768.850712228142,1320.05130877707,2
739.459256992108,1306.84029024017,2
781.809567673757,1309.10406456016,2
777.21849567422,1341.70543021235,2
817.050091346692,1274.95829160056,2
783.101380727728,1286.06775792918,2
810.991540689353,1294.49072835856,2
755.585899285533,1307.60106147315,2
770.231102872561,1246.03865858286,2
759.032547942027,1277.01873485249,2
1978.4075300726,1629.87851799655,3
1995.24972195643,1607.72728236615,3
2018.44743385231,1641.66776313965,3
1972.49387117885,1600.4732863698,3
2001.79251447259,1603.92996594702,3
1975.34548663556,1593.56728120943,3
1990.64151832595,1637.07788428253,3
1963.54013484328,1579.92673734651,3
2012.18857794313,1591.64671268674,3
1965.11611326196,1617.09918498487,3
1968.7080036266,1592.08237172732,3
2023.18170924789,1654.20719985062,3
2015.24771781171,1632.44318621349,3
2022.93092666184,1604.93513572796,3
1976.626260825,1634.18028428877,3
1030.57254440762,1916.12568548641,4
1055.48872420068,1973.19330902149,4
1044.80079679245,1987.57229834805,4
1027.32671899123,1970.60780811691,4
1027.55210734572,2004.31561464627,4
1022.40661499039,1952.55808661419,4
1040.918529509,1992.53599099608,4
1002.75945378453,1944.03623457051,4
1028.30460422837,1962.90891050148,4
1050.36284315774,2001.38026803064,4
1020.63294760595,1966.51080248175,4
1056.87481992639,1965.75295428721,4
1079.41059017861,1952.44428737708,4
1024.25365471033,2009.65188875281,4
999.384380770056,2012.72166754868,4
1934.53053519364,230.159420859669,5
1880.02108828996,212.744898257887,5
1913.63208008521,218.407468898061,5
1900.14678558582,190.882132960062,5
1875.36785049256,213.655308868202,5
1855.99277410405,204.055501958046,5
1925.0321798389,227.914729218046,5
1901.76840830985,236.274858528281,5
1796.70686025796,245.132312577034,5
1882.7167399008,240.284682805433,5
1874.93286273108,209.881800643485,5
1865.81242986051,225.557794400219,5
1910.78711782725,194.176517368856,5
1835.34533114003,233.13201505724,5
1884.50831833216,215.833913221526,5
768.461292019058,133.633978678307,6
774.7639914961,115.202650706926,6
775.033429329003,133.854617140077,6
766.125014659941,108.749727707616,6
801.358149527013,106.594803380566,6
779.804836783564,95.5426433922467,6
763.529558178148,102.075605334593,6
785.304271825158,133.16341125886,6
775.338979695684,136.013854778483,6
797.591369141267,168.046416591132,6
791.175451320255,111.459842962344,6
768.783890997728,81.7972230706187,6
779.785442346637,159.369736460454,6
797.373596049793,151.642783484652,6
764.687666484409,112.889688592602,6
1370.08152196562,1824.04467082027,7
1410.09011021374,1801.18526564044,7
1379.6267611532,1851.34860690755,7
1378.22252497014,1836.31211951724,7
1364.32480526377,1833.3425398802,7
1347.77445222373,1876.41526798545,7
1385.36526914446,1837.27560331424,7
1361.02314894118,1823.71114376552,7
1395.7947860284,1837.26068481143,7
1387.99984408764,1830.8970677425,7
1376.80567287491,1858.9411852926,7
1361.87147852037,1807.11331545975,7
1310.19525575521,1823.76267687086,7
1385.24714211163,1817.41393673436,7
1313.77082085282,1818.33134322244,7
1717.44587508013,1924.95465668836,8
1712.41239016032,1865.55247385562,8
1681.69450731206,1878.10534704811,8
1760.98001580097,1872.7817124589,8
1667.63944267676,1943.90037932123,8
1745.94313978593,1936.80655435366,8
1748.66264662221,1876.45493989655,8
1720.06995559414,1877.23168306193,8
1709.28286129756,1947.51488862085,8
1740.33820773891,1923.69213275262,8
1673.36948839682,1962.38536852701,8
1732.61228770078,1980.05578934014,8
1706.4476867709,1920.5140287736,8
1687.11580181051,1914.32154392073,8
1747.31506528668,1943.03150772999,8
61.4402095560753,352.563717764322,9
55.447108057322,334.148004207404,9
14.7557083783018,390.568774343024,9
48.0758948345246,350.833134615687,9
58.3533558746836,398.632527660408,9
78.4995832083095,376.077908944295,9
42.5883353803533,329.752284118532,9
41.9503179183063,397.905372636872,9
65.7441391074648,311.552674330013,9
63.8129750279798,376.020768094216,9
91.7884444334659,381.470854635676,9
39.4969108920476,360.719853229009,9
71.0437989962054,347.518415329687,9
46.8677628457409,387.587926675203,9
73.1624895760552,389.382639249878,9
1726.79003130379,1187.47408303902,10
1794.55936194521,1152.52353038438,10
1763.54957982583,1201.76851434584,10
1733.84334783031,1194.19038135413,10
1751.19979556273,1153.60934285544,10
1777.077974628,1212.31641692623,10
1744.31856956244,1221.75389143069,10
1762.44253002023,1190.43708734574,10
1742.58977674375,1209.19762131141,10
1756.93009642507,1174.75959413587,10
1777.6971832033,1231.97937071877,10
1721.9751500787,1158.54265858532,10
1748.86860764873,1195.04143463314,10
1770.02180354698,1187.76826163849,10
1715.08255720615,1195.07087423359,10
539.915274877723,2005.58979178168,11
547.897264528769,2025.11133019649,11
556.770890870573,2026.49336159074,11
504.286185984421,2018.40130013492,11
451.787035189416,1972.51864402061,11
848.408632143106,1728.09985148178,12
854.93691595909,1724.66068459425,12
881.614332305762,1760.53143508983,12
847.390483979614,1782.23803438459,12
879.735808817924,1724.75842267381,12
725.036764609292,330.556122188555,13
692.138107825062,350.029291211501,13
685.098992554659,356.134168578067,13
709.581637624935,322.201506385115,13
686.563981207751,336.482957745637,13
507.410420788613,102.970346024246,14
480.060017291009,92.6274875140143,14
489.007043636775,109.342133705274,14
488.780872244286,71.2239634309065,14
499.008413785926,101.987175157749,14
1124.79234064845,635.512091370534,15
1104.47434569771,692.095017034857,15
1074.43662316861,641.715439639878,15
1063.48263806521,678.935954328483,15
1139.94253811249,618.328995958012,15
1341.41853746715,1443.04979796242,16
1333.46386639525,1437.47055457513,16
1289.33422246796,1420.72029652761,16
1281.67265407003,1441.8697417741,16
1327.02026547796,1397.80194149997,16
135.647974103821,1053.9510893064,17
69.5543901400246,1059.20604882592,17
77.7574119089851,1108.6859053617,17
108.2772462146,1051.21835995396,17
105.895093545597,1044.74233347192,17
1359.53218852948,516.943103551684,18
1370.07068785701,521.485632391552,18
1356.78877616545,521.273078948367,18
1376.19861173673,502.44466549446,18
1322.44570182529,519.338502644244,18
755.309060529739,1958.33218548108,19
788.429774517223,1898.63833857822,19
800.84204717057,1921.5963838979,19
770.37380894092,1966.05705058043,19
795.905138490798,1955.76111423684,19
251.894286117777,666.712222069174,20
292.841004451949,615.233440281821,20
251.48858289274,606.189453171007,20
267.937054959038,615.859930764987,20
276.571178934962,594.52618398608,20
1768.6912980862,1671.18359915912,0
1881.11053546891,416.529254522175,0
1395.43512836099,805.879833642393,0
1561.14165391773,310.676176100969,0
269.987281411886,1223.26970146969,0
793.218174017966,426.794989500195,0
1369.28308568895,195.647526998073,0
1464.95979744941,226.457389071584,0
1723.78098452464,536.596765276045,0
512.93025072664,773.275308310986,0
799.511143472046,1573.48621636629,0
1434.3183063902,1783.08472502977,0
1275.20422963426,485.396263189614,0
946.626653894782,210.21514525637,0
935.345063917339,1224.5070496574,0
842.376098036766,361.139505170286,0
351.534701418132,1547.97208262607,0
308.905312325805,1898.53639807552,0
725.347963627428,221.299250144511,0
965.343313291669,608.101346064359,0
1623.5730946064,1504.96536167338,0
688.568567391485,442.60139297694,0
585.691367276013,1891.07996504754,0
1105.0760736689,964.695002883673,0
1679.41363481805,630.397238768637,0
1061.97690684348,1960.09864844382,0
487.696654163301,1675.84908148274,0
237.853555940092,119.876801036298,0
653.864913620055,1565.53308153525,0
973.529130220413,1866.76936643198,0
222.118654288352,621.547345072031,0
944.503051694483,794.791705906391,0
332.758329808712,1192.3481808044,0
106.641648337245,1578.94349982962,0
575.127243530005,1111.79035250098,0
1863.16474340856,1945.73054229841,0
194.218142423779,650.059994775802,0
1325.35051135346,377.193117979914,0
369.920646306127,699.866525828838,0
870.934345759451,546.378978062421,0
809.813525062054,1653.97358732298,0
1485.34611705691,332.405822351575,0
1982.872933615,887.985724490136,0
240.186231676489,565.120926592499,0
179.298478644341,1665.58020981029,0
405.714016873389,766.760894563049,0
868.39778535068,897.943749092519,0
557.005617301911,1443.54763021693,0
1016.72893669456,766.699814237654,0
1048.24516316876,368.626365438104,0
605.55134806782,1761.86109753326,0
289.191019255668,1074.60880884901,0
1061.57134100795,1392.3201574944,0
775.655445642769,1806.21127039194,0
866.925731766969,1156.54254937544,0
1203.40756233782,1953.95966945216,0
1268.82692379877,1542.94008482248,0
1044.86947553232,1768.35969928652,0
597.643041517586,1450.43758163229,0
329.713539220393,1051.86228035018,0
1622.64357926324,1490.38987886161,0
143.479936290532,554.136794991791,0
182.745693251491,433.770179282874,0
1726.19562689215,591.117766685784,0
926.68714094907,816.622170619667,0
847.818698268384,1191.41552317888,0
1033.38013449684,1229.64408481494,0
1532.7012008056,1129.1705109179,0
1204.72787739709,887.129665352404,0
1723.94816903397,1841.99042618275,0
1483.96529676393,12.7654066309333,0
239.398743025959,346.177853643894,0
1505.16497902572,997.14267347008,0
26.0285157710314,476.238995790482,0
564.599651843309,574.116381816566,0
1456.00914023817,960.126323159784,0
49.661273136735,1269.44569405168,0
1626.52890244499,897.857852745801,0
661.972627509385,306.090558879077,0
688.566670753062,1873.16454201937,0
607.401913031936,1857.76258679107,0
192.617202177644,22.776813711971,0
1562.90848040953,433.261839672923,0
1931.97220843285,892.188023775816,0
622.272924054414,1823.15310928971,0
1487.85692546517,1400.21400898695,0
468.71891617775,197.878109291196,0
1216.83089248836,1565.11014932767,0
934.281577821821,1797.40851186216,0
590.189095586538,574.363097548485,0
601.507273502648,1388.3406878449,0
1969.64811021462,1048.93583571538,0
1075.76389471069,538.41504175216,0
520.650798920542,683.712120167911,0
1021.31138183177,1431.53702002019,0
48.9433784969151,170.380142517388,0
401.658382732421,1671.93273734301,0
835.05970844999,1011.57549023628,0
1607.56941372529,1417.46366396546,0
1637.81912298873,180.899754166603,0
1638.23519414291,614.346622489393,0
1763.33461049944,1941.16841442883,0
1118.03918285295,1183.24395874515,0
1303.91300655901,1036.69070871547,0
886.453106533736,996.947409119457,0
1728.27767953277,386.984997428954,0
904.914337676018,1468.87361072004,0
399.091526400298,1416.02635523304,0
1614.7787142545,327.475524507463,0
324.109065812081,1543.10902860016,0
106.450560037047,1133.86619370431,0
1426.74485314637,1196.0183866322,0
1782.08218794316,554.540073499084,0
977.374503854662,1502.64268321916,0
33.8839120231569,1093.35824754089,0
1585.04940988496,1296.39512998983,0
1209.40241776407,707.011173013598,0
853.439900092781,67.4508064985275,0
417.5492990762,788.968904875219,0
1587.65622833744,1209.29578272626,0
891.029609832913,627.847143914551,0
1929.77776192129,1728.25575945899,0
1449.81181668118,654.298862442374,0
1166.70328332111,484.274838119745,0
286.510794889182,1355.04304990172,0
865.92816002667,609.913209918886,0
237.823714502156,276.229583658278,0
231.175903230906,1285.73769005015,0
842.212303541601,1086.37859998271,0
1843.83267071098,1952.58142752573,0
1466.48130565882,236.913754139096,0
454.052631743252,1018.52901419625,0
598.285155836493,1874.63709665462,0
941.390741616488,1108.98492252454,0
186.43640819937,751.431944780052,0
1279.13568727672,1789.72984105349,0
1501.75864296034,1830.29918465763,0
1979.02202047408,795.340035576373,0
772.858265787363,1395.30352968723,0
153.474397026002,1758.57335841283,0
929.034464526922,194.844536948949,0
86.4716880023479,436.399321537465,0
732.147112023085,39.3093060702085,0
379.166511818767,1594.81560066342,0
1516.09594933689,1181.89357360825,0
39.7830228321254,1210.06404282525,0
1280.82578722388,28.3942259848118,0
507.059651892632,1245.71016430855,0
