"","","moleculeClusterIndex"
1069.36434486743,1879.92394655093,1
1057.99330607218,1908.16365328106,1
1069.61026384589,1948.84480286531,1
1014.62464236034,1943.54687112239,1
1039.38198889195,1928.1738884777,1
1011.93247171788,1962.24480536291,1
1096.14516333834,1944.37758437654,1
1029.45998738612,1932.38096417299,1
1030.70871408828,1921.90475364439,1
1047.23502538706,1931.86994064881,1
1026.68686938596,1908.26816681597,1
1076.44727922914,1911.62230881059,1
1006.96646437736,1931.49720712875,1
1058.24138641469,1909.61703382183,1
1088.2120095503,1942.45195096651,1
832.870190674092,1486.16461544111,2
859.591708887881,1495.54709423802,2
820.453114531693,1486.26907980069,2
839.261261085902,1508.34790725195,2
885.409063625538,1526.03732142153,2
839.318194720961,1519.4297401583,2
897.657914936364,1501.21433851693,2
842.925879545893,1465.67213157978,2
875.904813165709,1539.52521040993,2
878.185068495024,1501.99451093175,2
830.499276995806,1477.41565812845,2
840.347597840744,1465.7438176596,2
838.558496231185,1538.18179518751,2
827.056988311538,1508.2008406273,2
845.219618070821,1496.64097581265,2
755.916239026223,1183.32547163961,3
735.274210650222,1165.57564590694,3
779.337558950981,1132.60194405662,3
786.259599073181,1131.54396494279,3
774.522339236394,1170.44793002349,3
820.188896010588,1149.85192614391,3
787.930713664482,1195.32048950726,3
690.098784797713,1121.45675127399,3
801.665679391857,1148.17132610534,3
768.727730365508,1152.4269150721,3
752.388722987857,1178.13812468199,3
800.781401564983,1114.79095676871,3
744.523944097377,1167.72312282172,3
768.920267554508,1116.88054514512,3
787.393620931464,1157.01542663406,3
288.55024630553,1223.26654965057,4
284.851892991844,1204.45743195563,4
334.324966348514,1198.13119826239,4
291.198123651749,1200.98933304196,4
268.92362053534,1216.510480801,4
250.260485290157,1288.81443292039,4
277.757554623137,1228.79029317316,4
331.59253849274,1233.69929250187,4
338.73608489655,1255.83860749104,4
317.950418193818,1204.15559503955,4
257.972155283356,1230.06024124894,4
280.130242792812,1232.07887540584,4
318.08250095114,1200.08856781574,4
258.905920279613,1247.37551620209,4
317.78335027473,1271.19482698237,4
1459.1589186034,1710.5827728662,5
1479.03658557705,1641.26923293756,5
1480.56927077145,1657.58317850579,5
1461.01186194556,1669.93547482038,5
1505.26160864964,1646.13709813983,5
1496.94373359359,1679.68176501514,5
1439.68860287279,1667.70656321312,5
1505.03757007823,1680.85044406098,5
1518.7739177721,1654.90617842557,5
1492.339513061,1667.33601682495,5
1474.62876725067,1696.76468291789,5
1492.21522667575,1646.17015356246,5
1504.16207269836,1674.07424187149,5
1482.66304764097,1678.07882981763,5
1442.46185747639,1714.56457686014,5
1688.2405833133,666.723973224063,6
1696.7885865238,629.591349786722,6
1692.42480458485,656.356871253538,6
1694.01338685391,674.442444832202,6
1686.03344303985,657.983091749911,6
1693.07996633268,637.259612388058,6
1701.47140764209,646.197001381994,6
1703.94006373076,602.136833213737,6
1715.67251806366,642.685041299889,6
1684.05657670623,670.397546870756,6
1671.7881173864,653.171237075589,6
1706.73408560209,620.429527137054,6
1699.3527790401,648.84652072069,6
1674.26460862185,616.979284646827,6
1662.26088418294,662.137093122562,6
653.1914834107,1766.14333783127,7
615.773312529702,1761.72519216915,7
628.802840387822,1749.88185967125,7
658.958879164663,1795.93521144269,7
584.208732863021,1785.62544648651,7
654.445410560675,1812.56677014237,7
633.892976510733,1805.91142814516,7
639.499697160499,1782.41616371983,7
677.367599480716,1790.72045110767,7
653.647951698708,1772.83730662049,7
683.089487899089,1783.66279958388,7
660.655199790849,1752.6805417044,7
674.162864393389,1757.80393783496,7
642.865557447532,1820.6478717298,7
655.266760035644,1814.07338086332,7
362.621349479872,1068.00703694341,8
372.270537690324,1051.49103709219,8
330.354902848351,1026.54760807919,8
301.758164651143,1043.23587322365,8
371.382965472361,1090.25703681721,8
340.904996454208,1055.21562761591,8
352.573411167854,1072.57100512728,8
