"","","moleculeClusterIndex"
825.725209482028,1079.744531361,1
887.269759608717,1076.20422716763,1
881.827703686032,1051.86489537355,1
846.39223627575,1087.29163143583,1
864.580527767292,1022.34284667553,1
792.910340657995,1050.05064193788,1
821.159577535305,1108.40741686033,1
864.597440015301,1036.986644218,1
841.306248506265,1069.31620595219,1
847.738547847652,1065.5108685856,1
858.641682489013,1045.53043565899,1
815.050334380188,1055.52649328211,1
823.653597080262,1038.56489051639,1
792.974908305659,1049.78255777604,1
858.94602972556,1075.00149429088,1
871.457480039387,1734.14477509261,2
843.736638239598,1698.60517404336,2
858.69131996436,1664.89628812491,2
861.189097296216,1645.89249655869,2
844.563508600753,1617.83650848005,2
824.456652679649,1646.40165419915,2
866.693894659604,1715.02931961524,2
919.019626830409,1688.55387821942,2
877.090676229226,1736.99113351613,2
855.095888212864,1686.60797492436,2
851.987031187857,1650.72576721471,2
819.923739398107,1665.65758583436,2
882.532721447756,1685.59328746537,2
838.311722543275,1706.86722818282,2
917.095714732668,1733.57503692699,2
1152.32278820408,208.716773649432,3
1108.50222171891,230.50814125199,3
1157.09338021708,210.800862409784,3
1148.37394915032,216.406710990297,3
1118.34425412469,184.962408235299,3
1113.98446470614,241.024532482603,3
1072.27321884279,241.397459427483,3
1115.06894650255,213.158062834395,3
1108.35415105385,216.495022164865,3
1137.54255387549,168.940417704373,3
1171.50861355209,249.127149886647,3
1171.92864897566,230.012824945155,3
1190.38405406187,172.563799686451,3
1135.53991420125,197.043662564308,3
1129.51345688066,206.402817151718,3
1655.0048126036,1649.89030820957,4
1618.29669115318,1692.77908257633,4
1650.86158030966,1668.8877182624,4
1635.21615281542,1707.0566075453,4
1655.09960889043,1683.98300690481,4
1586.47965406776,1658.38470811176,4
1639.29010964352,1685.67834211302,4
1644.14566481254,1665.18106638029,4
1623.05668196449,1629.25479242075,4
1594.43960212803,1695.92799895956,4
1662.93042426497,1629.26970143002,4
1647.22481399512,1688.4129744293,4
1658.40698108433,1703.80703257944,4
1664.10089734554,1681.00574246579,4
1675.49663303004,1615.57816706133,4
852.922990420708,1231.95711481758,5
855.285864096718,1269.74693731582,5
850.738718741057,1268.38633147209,5
845.112054450387,1313.28723363751,5
878.036043614773,1254.08357799837,5
843.702093901318,1277.48201158917,5
822.97721476229,1286.58980273437,5
851.71036450994,1265.44458049857,5
888.487748930909,1244.48700576153,5
869.693374295175,1312.40937673392,5
859.963946542902,1291.58536292456,5
854.829056234269,1252.35881646726,5
878.452327232929,1242.38891118609,5
858.596404184191,1280.77861446028,5
856.523410828849,1250.42881634228,5
321.709545435992,1858.74366540828,6
391.063982136868,1868.00698187921,6
360.869583569893,1857.32879272857,6
386.259395882592,1881.76182808192,6
341.610211622614,1890.87028504768,6
354.957635748234,1869.85971774426,6
377.9274348288,1898.01625939532,6
377.068561701111,1882.69813460041,6
363.355678598718,1861.55314793071,6
360.192217471522,1890.48842903133,6
376.869336245242,1866.29445751683,6
332.860239767662,1868.2806209485,6
384.881371991125,1857.21590124689,6
346.751489070062,1873.6167989344,6
393.42435398707,1865.39795778355,6
1178.23199001409,34.8851028502244,7
1184.32171903663,-0.881950816140492,7
1225.34029858778,54.7059777206813,7
1146.91078592155,0.550220015638148,7
1153.77053747627,3.35790771903542,7
1172.67156395807,50.2842021689607,7
1180.22560827232,52.4565203551274,7
1171.94191410482,-16.2222147804525,7
1185.7486352532,-28.4302441447796,7
1183.27239248124,37.8437490728702,7
1200.8175316653,10.3514701182906,7
1168.31038919072,-10.1715635211631,7
1132.35443508394,71.7317595257283,7
1172.96449182624,30.8149375548906,7
1197.26084938341,13.0981891099587,7
1859.47800304762,385.103329641407,8
1846.74385774851,393.672007540505,8
1871.69594853115,344.948262977771,8
1831.37063581652,348.148593196522,8
1851.3168729205,373.380757001679,8
1866.26793840171,352.197855418533,8
1858.33333432981,384.53625535898,8
1828.37354912182,353.286753680691,8
1873.49503855825,397.40763936751,8
1850.72370369365,388.558511537542,8
1850.91376400634,358.987506518718,8
1860.36575563879,379.525877012453,8
1809.5269154387,377.434300891951,8
1847.234410227,371.074032517448,8
1806.37969821234,355.901239403993,8
774.58039841722,212.995964319942,9
753.378050473756,280.693597260634,9
758.472517654554,271.706582078312,9
690.471294483269,262.018563699183,9
752.42170324422,252.341784170895,9
799.441666475857,308.83783095453,9
792.537677175121,259.077277496879,9
797.164153880771,252.948967863059,9
797.185130285195,301.787497531644,9
759.597475953777,284.635261223469,9
792.715275766991,274.271969697662,9
728.997399947057,273.025894304979,9
787.170031762043,251.844599532062,9
759.850757267764,259.303795431122,9
793.322094599023,306.408312953964,9
1468.09820415622,552.002714780455,10
1464.1014057617,518.597616377751,10
1462.36926978936,536.200639109519,10
